Class,Precision,Recall,Accuracy
Aspergillus calidoustus,0.0,0.0,1.0
Aspergillus felis-viridinutans,0.0,0.0,1.0
Aspergillus flavus,1.0,1.0,1.0
Aspergillus melleus,0.0,0.0,1.0
Aspergillus nomiae,0.0,0.0,1.0
Aspergillus parasiticus,0.0,0.0,1.0
Aspergillus persii,0.0,0.0,1.0
Aspergillus subramanianii,0.0,0.0,1.0
Aspergillus terreus,1.0,1.0,1.0
Aspergillus thermomutatus,0.0,0.0,0.9876665022200296
Aspergillus viridinutans,1.0,0.92,0.9990133201776024
Fusarium anthophilium,0.0,0.0,1.0
Fusarium dimerum,0.0,0.0,0.9891465219536261
Fusarium faciforme,0.0,0.0,0.9975333004440059
Fusarium fujikuorii,0.0,0.0,1.0
Fusarium keratoplasticum,0.0,0.0,0.9876665022200296
Hyphozyma variabilis,0.0,0.0,1.0
Microsporum audouinii,0.0,0.0,0.9886531820424272
Trichophyton benhamiae,1.0,1.0,1.0
Trichophyton concentricum,0.0,0.0,1.0
Trichophyton japonicum,1.0,1.0,1.0
Aspergillus alliaceus,1.0,1.0,1.0
Aspergillus awamori,0.9272727272727272,0.68,0.9861864824864331
Aspergillus citrinoterreus,1.0,1.0,1.0
Aspergillus fumigatus,1.0,1.0,1.0
Aspergillus lentulus,1.0,1.0,1.0
Aspergillus nidulans,1.0,1.0,1.0
Aspergillus niger,0.7391304347826086,0.9444444444444444,0.9861864824864331
Aspergillus novofumigatus,1.0,1.0,1.0
Aspergillus pseudodeflectus,1.0,1.0,1.0
Aspergillus sydowii,1.0,1.0,1.0
Aspergillus tamarii,1.0,1.0,1.0
Candida auris,1.0,1.0,1.0
Cryptococcus neoformans,1.0,1.0,1.0
Cunninghamella bertholletiae,1.0,1.0,1.0
Emericella nidulans,1.0,1.0,1.0
Exophiala oligoesperma,1.0,1.0,1.0
Fusarium oxysporum,1.0,1.0,1.0
Fusarium petroliphilum,1.0,1.0,1.0
Fusarium proliferatum,1.0,0.4489795918367347,0.986679822397632
Fusarium solani,0.6212121212121212,1.0,0.9876665022200296
Fusarium verticillioides,1.0,1.0,1.0
Lichtheimia corymbifera,1.0,0.36619718309859156,0.9777997039960533
Lichtheimia ramosa,0.5054945054945055,1.0,0.9777997039960533
Microsporum canis,1.0,0.5,0.9886531820424272
Mucor circinelloides,1.0,1.0,1.0
Neosartorya fischeri,0.425531914893617,1.0,0.986679822397632
Neosartorya fisheri,1.0,0.03571428571428571,0.986679822397632
Neosartorya tsurutae,0.0,0.0,0.9881598421312284
Neosartorya udagawae,0.9795918367346939,1.0,0.9995066600888012
Pseudallescheria boydii,1.0,0.6666666666666666,0.9950666008880118
Rhizomucor pusillus,1.0,1.0,1.0
Rhizopus arrhizus,1.0,1.0,1.0
Rhizopus microsporus,1.0,1.0,1.0
Scedosporium apiospermum,0.8387096774193549,1.0,0.9950666008880118
Scedosporium prolificans,1.0,1.0,1.0
Syncephalastrum sp.,1.0,1.0,1.0
Trichophyton interdigitale,1.0,1.0,1.0
Trichophyton rubrum,1.0,1.0,1.0
Trichophyton tonsurans,1.0,1.0,1.0
Overall,0.6839490536301605,0.6593667028626787,0.8959052787370498
